City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Mecca,SA,89.17,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
410,Hambantota,LK,89.94,scattered clouds,6.1241,81.1185,Bungalow 63
411,Atbasar,KZ,75.34,broken clouds,51.8,68.3333,Гостиничный Комплекс Saad
414,Beloha,MG,71.35,clear sky,-25.1667,45.05,
416,Kasongo,CD,75.15,overcast clouds,-4.45,26.6667,Guest Hôtel
417,Paracuru,BR,74.1,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
418,Bima,ID,89.64,scattered clouds,-8.4667,118.7167,Lambitu Hotel
420,Ouallam,NE,81.19,overcast clouds,14.3188,2.0866,
421,Kalaleh,IR,86.09,broken clouds,37.3807,55.4916,کلاله
423,Contamana,PE,74.32,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
424,West Bay,KY,82.0,clear sky,19.3667,-81.4167,Calypso Cove
427,Zhigalovo,RU,77.9,overcast clouds,54.8097,105.1578,"Hotel ""Lenatur"""
429,Calamar,CO,76.68,broken clouds,10.2511,-74.9146,Hostal Katyalex
430,Roma,US,79.52,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
433,Oriximina,BR,72.16,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
436,Karakol,KG,79.48,clear sky,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
437,Taoudenni,ML,89.1,scattered clouds,22.6783,-3.9836,
439,Goderich,CA,72.91,clear sky,43.7501,-81.7165,Harmony Inn
441,San Policarpo,PH,85.71,broken clouds,12.1791,125.5072,Agapita M. Nicart
442,Tulsipur,NP,80.98,overcast clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
450,Grand-Santi,GF,70.79,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
451,Port-Gentil,GA,73.36,overcast clouds,-0.7193,8.7815,Fengshui Residence
453,Pochutla,MX,77.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
454,Salalah,OM,76.93,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
455,Meulaboh,ID,84.34,light rain,4.1363,96.1285,Kost Pria
456,Jibuti,DJ,84.09,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
457,Auki,SB,83.98,overcast clouds,-8.7676,160.7034,Auki Motel
461,Harper,LR,73.6,overcast clouds,4.375,-7.7169,Screensaver
463,Beyneu,KZ,89.87,broken clouds,45.3167,55.2,NUR
465,Jiayuguan,CN,71.89,scattered clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
466,Kuvandyk,RU,74.28,few clouds,51.4781,57.3552,Hotel Kamenka
469,Grand Gaube,MU,74.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
470,Matay,EG,81.86,clear sky,28.419,30.7792,Nag Aespen
473,Tual,ID,78.57,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
474,Tracy,US,77.04,clear sky,37.7397,-121.4252,"Holiday Inn Express & Suites Tracy, an IHG Hotel"
475,Tigil,RU,73.36,broken clouds,57.8,158.6667,Tigil'
476,Mathbaria,BD,89.83,overcast clouds,22.2876,89.9593,Shikdar Hotel
477,Tiznit,MA,86.81,scattered clouds,29.5833,-9.5,
480,Kavieng,PG,83.03,light rain,-2.5744,150.7967,Nusa Island Retreat
481,Varkkallai,IN,83.98,broken clouds,8.7341,76.7067,Hindustan Beach Retreat
483,Klichka,RU,82.15,few clouds,50.4457,117.996,
485,Tekeli,KZ,88.48,clear sky,44.83,78.8239,Vuslat Tekeli
491,Rach Gia,VN,79.07,moderate rain,10.0167,105.0833,Nhà Hàng Hòa Giang
494,Pointe Michel,DM,80.22,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
495,Westport,US,79.86,clear sky,41.1415,-73.3579,The Westport Inn
496,Bloomingdale,US,82.31,clear sky,27.8936,-82.2404,Travel Club for Free
497,Japura,ID,89.06,broken clouds,-0.3167,102.35,Rumah mbah Jamah
501,Caceres,ES,73.65,clear sky,39.522,-6.3748,Ahc Hoteles
508,Havelock,US,82.38,clear sky,34.8791,-76.9013,Sherwood Motel
510,Guisa,CU,71.62,broken clouds,20.255,-76.5386,
511,Susanville,US,75.04,clear sky,40.4163,-120.653,Comfort Inn & Suites
514,Bunia,CD,70.86,scattered clouds,1.5667,30.25,Gold Star International Hotel
515,Tevaitoa,PF,76.78,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
516,Karratha,AU,80.51,clear sky,-20.7377,116.8463,ibis Styles Karratha
517,Nancha,CN,88.23,clear sky,47.1333,129.2667,Communications Hotel
518,Neryungri,RU,72.52,light rain,56.6709,124.6491,Pyat' Zvozd
519,Bama,NG,72.81,light rain,11.5221,13.6856,UN Humanitarian Hub
520,Pangai,TO,77.05,clear sky,-19.8,-174.35,Ha'apai Beach Resort
521,Cap Malheureux,MU,74.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
522,Nhamunda,BR,72.16,scattered clouds,-2.1861,-56.7131,Pousada Da Praia
523,Faanui,PF,77.67,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
527,Usinsk,RU,70.66,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
535,Nizhnyaya Poyma,RU,71.4,broken clouds,56.1622,97.1933,Gostinitsa
536,Manado,ID,81.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
537,Bad Sackingen,DE,71.1,scattered clouds,47.5537,7.9461,SAPIA Hotel Sankt Fridolin
541,Brezoi,RO,80.04,clear sky,45.338,24.2486,Dendy
544,Gornopravdinsk,RU,74.44,broken clouds,60.05,69.9,Hostel
546,Awjilah,LY,75.22,clear sky,29.1081,21.2869,المنزل
548,Dibulla,CO,76.59,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
551,Shenjiamen,CN,85.06,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
553,Rochegda,RU,71.42,clear sky,62.8,43.25,
554,Dawei,MM,76.1,heavy intensity rain,14.0833,98.2,Hotel Dawei
558,Pemba,MZ,74.71,scattered clouds,-12.974,40.5178,Guesthouse Samotina
559,Krasnyy Kut,RU,77.92,overcast clouds,50.95,46.9667,Yubileynaya
560,Bangui,CF,70.61,moderate rain,4.3612,18.555,SAM HOTEL
564,Portland,US,76.66,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
568,Hamilton,US,76.23,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
569,Touros,BR,72.19,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
570,Dicabisagan,PH,89.17,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
573,Ginda,IN,71.58,overcast clouds,30.6945,78.4932,Sunil Bisht
574,Bara,NG,72.01,overcast clouds,10.3744,10.7288,
576,Fergus Falls,US,71.58,scattered clouds,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
577,Coari,BR,74.01,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
578,Yakeshi,CN,84.6,clear sky,49.2833,120.7333,Longhua Hotel
581,Inhambane,MZ,70.7,clear sky,-23.865,35.3833,Oceano
586,Manggar,ID,83.07,light rain,-2.8833,108.2667,Guest Hotel
587,Pafos,CY,88.23,few clouds,34.7667,32.4167,Elysium Hotel
590,Dagana,MR,77.02,broken clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
591,Cairns,AU,86.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
592,Yantal,RU,76.12,broken clouds,56.8471,105.2542,
594,Cabo Rojo,PR,80.98,clear sky,18.0866,-67.1457,Hotel Perichi's
596,Phuket,TH,87.1,light rain,8.0,98.25,The Surin
598,Bodrum,TR,85.93,clear sky,37.0383,27.4292,The Marmara Bodrum
600,Liberal,US,74.44,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
601,Mountain Home,US,75.69,clear sky,43.133,-115.6912,Mountain Home Inn
602,Shuangcheng,CN,85.26,broken clouds,45.35,126.2833,Xingcheng Hotel
603,Balikpapan,ID,86.99,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
607,Mizdah,LY,73.22,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
608,Bhatapara,IN,88.52,overcast clouds,21.7333,81.9333,THE BABBU PARADISE
610,Jalu,LY,75.15,clear sky,29.0331,21.5482,صاحبة الفخامة
612,Srandakan,ID,81.46,broken clouds,-7.9386,110.2506,Puri Brata
613,Nata,PA,75.56,overcast clouds,8.3333,-80.5167,Rey David
614,Kutum,SD,76.71,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
615,Kuytun,RU,74.66,scattered clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
617,Saint-Pierre,RE,72.28,clear sky,-21.3393,55.4781,Alize Plage
622,Saint-Leu,RE,71.67,clear sky,-21.15,55.2833,La Caz Oceane
623,Tshikapa,CD,76.69,scattered clouds,-6.4167,20.8,Tatem beach
625,Mosta,MT,80.46,clear sky,35.9092,14.4256,The Xara Palace Relais & Chateaux
626,Lewistown,US,74.95,clear sky,40.5992,-77.5714,Quality Inn & Suites
627,Morro Bay,US,75.4,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
629,Galle,LK,81.39,broken clouds,6.0367,80.217,Amangalla
630,Port Lavaca,US,85.98,scattered clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
631,Dafeng,CN,89.33,overcast clouds,23.4517,108.5881,Shenglong Hotel
632,Kourou,GF,78.12,few clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
634,Rawatbhata,IN,84.54,overcast clouds,24.9333,75.5833,Bhainsrorgarh Fort Hotel
638,Yabrud,SY,74.5,clear sky,33.9674,36.6574,صالة افراح الاندلس
642,Ormara,PK,84.11,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
643,Mayo,US,83.17,clear sky,38.8876,-76.5119,Resorts Resource Group International
647,Cockburn Town,TC,81.95,clear sky,21.4612,-71.1419,Osprey Beach Hotel
648,Maskinonge,CA,72.52,overcast clouds,46.2286,-73.0192,Motel Normandie (066636)
649,Ligayan,PH,83.62,broken clouds,4.6533,119.4706,
651,Yangambi,CD,73.89,few clouds,0.8102,24.4336,
654,Tongliao,CN,80.55,moderate rain,43.6125,122.2653,Meirujia Hotel
655,Kandrian,PG,81.95,light rain,-6.2167,149.55,Kandrian Station
657,Matamoros,MX,85.42,clear sky,25.5333,-103.25,Quinta Belem
659,Namtsy,RU,87.37,broken clouds,62.7161,129.6658,"""Эңсиэли Киин"""
662,Eyl,SO,83.39,broken clouds,7.9803,49.8164,Amiin Hotel
663,Seoul,KR,78.19,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
664,Mana,GF,76.23,few clouds,5.6592,-53.7767,LE SAMANA
665,Karpogory,RU,74.34,few clouds,64.0019,44.4451,Hotel Pinezhskaya Sloboda
667,Santa Rosa,PH,86.11,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
670,Assomada,CV,71.24,broken clouds,15.1,-23.6833,Residencial Cosmos
671,Sao Jose Da Coroa Grande,BR,73.94,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
675,Umm Lajj,SA,87.8,scattered clouds,25.0213,37.2685,Moon light Furnished Units
679,Kanker,IN,81.75,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
682,Ixtapa,MX,83.43,scattered clouds,20.7,-105.2,hotel la terminal
683,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
